date,Symbol,rv5_ss,rv10_ss,medrv,rk_twoscale,rsv,rv10,rsv_ss,bv,rk_th2,rk_parzen,open_price,close_time,rv5,bv_ss
2017-12-29 00:00:00+00:00,ShanghaiComposite,1.53E-05,2.30E-05,7.82E-06,7.54E-06,5.64E-06,2.30E-05,5.64E-06,1.62E-05,7.74E-06,1.80E-05,3294.7573,150002,1.53E-05,1.62E-05
2018-01-02 00:00:00+00:00,ShanghaiComposite,3.86E-05,3.06E-05,9.13E-06,1.43E-05,1.01E-05,3.06E-05,1.01E-05,3.04E-05,1.45E-05,3.89E-05,3316.2711,150002,3.86E-05,3.04E-05
2018-01-03 00:00:00+00:00,ShanghaiComposite,2.85E-05,3.58E-05,1.59E-05,1.11E-05,9.87E-06,3.58E-05,9.87E-06,3.01E-05,1.12E-05,4.59E-05,3347.5999,145957,2.85E-05,3.01E-05
2018-01-04 00:00:00+00:00,ShanghaiComposite,3.14E-05,2.47E-05,4.62E-06,1.18E-05,1.37E-05,2.47E-05,1.37E-05,3.08E-05,1.24E-05,2.08E-05,3370.5683,145959,3.14E-05,3.08E-05
2018-01-05 00:00:00+00:00,ShanghaiComposite,3.37E-05,2.70E-05,5.98E-06,1.24E-05,1.59E-05,2.70E-05,1.59E-05,2.96E-05,1.25E-05,2.20E-05,3386.3133,150001,3.37E-05,2.96E-05
2018-01-08 00:00:00+00:00,ShanghaiComposite,2.65E-05,2.26E-05,1.04E-05,1.00E-05,1.11E-05,2.26E-05,1.11E-05,2.39E-05,9.79E-06,2.13E-05,3391.7823,145957,2.65E-05,2.39E-05
2018-01-09 00:00:00+00:00,ShanghaiComposite,1.99E-05,1.92E-05,7.54E-06,9.89E-06,7.92E-06,1.92E-05,7.92E-06,1.81E-05,9.72E-06,1.34E-05,3405.378,150003,1.99E-05,1.81E-05
2018-01-10 00:00:00+00:00,ShanghaiComposite,4.45E-05,5.25E-05,1.89E-05,1.59E-05,1.94E-05,5.25E-05,1.94E-05,4.62E-05,1.68E-05,5.19E-05,3414.1118,145958,4.45E-05,4.62E-05
2018-01-11 00:00:00+00:00,ShanghaiComposite,3.22E-05,3.27E-05,6.60E-06,1.29E-05,1.46E-05,3.27E-05,1.46E-05,2.05E-05,1.33E-05,2.26E-05,3413.6402,150004,3.22E-05,2.05E-05
2018-01-12 00:00:00+00:00,ShanghaiComposite,2.84E-05,3.05E-05,1.20E-05,9.70E-06,1.43E-05,3.05E-05,1.43E-05,2.83E-05,1.01E-05,2.49E-05,3423.9021,150002,2.84E-05,2.83E-05
2018-01-15 00:00:00+00:00,ShanghaiComposite,9.11E-05,0.000111086056,1.15E-05,3.14E-05,5.89E-05,0.000111086056,5.89E-05,8.64E-05,3.20E-05,0.0001033421656,3429.5321,150003,9.11E-05,8.64E-05
2018-01-16 00:00:00+00:00,ShanghaiComposite,5.07E-05,5.96E-05,5.01E-06,1.92E-05,1.71E-05,5.96E-05,1.71E-05,4.19E-05,2.02E-05,5.75E-05,3402.2679,145959,5.07E-05,4.19E-05
2018-01-17 00:00:00+00:00,ShanghaiComposite,0.0001265352422,0.0001572412063,4.84E-05,4.30E-05,6.14E-05,0.0001572412063,6.14E-05,0.0001430360698,4.63E-05,0.0001016829663,3440.4218,150005,0.0001265352422,0.0001430360698
